"operation_id","donor_surface","donor_screen_id","donor_route","operation_bindings","guards_applied","rbac_required","step_up_required","target_family_guess","target_status","target_candidate_ids","target_canonical","mapping_confidence","mapping_notes"
"dsh_delivery_reassign_request","MCPW","MCPW_dsh_delivery_reassign_request","/app/operations/dsh/reassign","dsh_delivery_reassign_request","SurfaceGuard","true","false","dsh_ops_governance_controls","internal_or_support","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","dsh_ops_orders_board|dsh_ops_order_detail_exception_workspace|dsh_ops_peak_mode_control","medium","Internal oversight or exception handling family."
"dsh_delivery_track_get","APP_USER","auto_dsh_delivery_track_get","DshDeliveryTrackGet","dsh_delivery_track_get","SurfaceGuard","true","false","dsh_customer_order_tracking","covered","dsh_client_active_order_tracking","dsh_client_active_order_tracking","high","Customer-visible order tracking family."
"dsh_booking_create","APP_USER","DshBookingCreate","DshBookingCreate","dsh_booking_create","SurfaceGuard","true","false","dsh_order_submit","covered_or_folded","dsh_client_checkout_confirm","dsh_client_checkout_confirm","medium","Submission-side operation supporting the confirmed order handoff."
"dsh_estimate_create","APP_USER","DshEstimateCreate","DshEstimateCreate","dsh_estimate_create","SurfaceGuard","true","false","dsh_order_submit","covered_or_folded","dsh_client_checkout_confirm","dsh_client_checkout_confirm","medium","Submission-side operation supporting the confirmed order handoff."
"dsh_estimate_get","APP_USER","DshEstimateGet","DshEstimateGet","dsh_estimate_get","SurfaceGuard","true","false","dsh_order_submit","covered_or_folded","dsh_client_checkout_confirm","dsh_client_checkout_confirm","medium","Submission-side operation supporting the confirmed order handoff."
"dsh_order_rate","APP_USER","DshOrderRate","/dsh/order-rate","dsh_order_rate","SurfaceGuard","true","false","legacy_client_receipt_rating","move_to_legacy","dsh_client_receipt_rating_cluster","","high","Post-completion rating and receipt cluster is currently deferred."
"dsh_order_receipt_get","APP_USER","DshOrderReceiptGet","/dsh/order-receipt","dsh_order_receipt_get","SurfaceGuard","true","false","legacy_client_receipt_rating","move_to_legacy","dsh_client_receipt_rating_cluster","","high","Post-completion rating and receipt cluster is currently deferred."
"dsh_review_create","APP_USER","auto_dsh_review_create","DshReviewCreate","dsh_review_create","SurfaceGuard","true","false","legacy_client_receipt_rating","move_to_legacy","dsh_client_receipt_rating_cluster","","high","Post-completion rating and receipt cluster is currently deferred."
"dsh_order_create","APP_USER","auto_dsh_order_create","/dsh/order-create","dsh_order_create","SurfaceGuard","true","false","dsh_order_submit","covered_or_folded","dsh_client_checkout_confirm","dsh_client_checkout_confirm","medium","Submission-side operation supporting the confirmed order handoff."
"dsh_order_accept","APP_USER","auto_dsh_order_accept","/dsh/order-accept","dsh_order_accept","SurfaceGuard","true","false","dsh_order_submit","covered_or_folded","dsh_client_checkout_confirm","dsh_client_checkout_confirm","medium","Submission-side operation supporting the confirmed order handoff."
"dsh_orders_list","APP_USER","auto_dsh_orders_list","/dsh/orders","dsh_orders_list","SurfaceGuard","true","false","dsh_customer_order_tracking","covered","dsh_client_active_order_tracking","dsh_client_active_order_tracking","high","Customer-visible order tracking family."
"dsh_order_complete","APP_USER","DshOrderComplete","/dsh/order-complete","dsh_order_complete","SurfaceGuard","true","false","dsh_customer_order_tracking","support_folded","dsh_client_active_order_tracking|dsh_captain_proof_capture","dsh_client_active_order_tracking|dsh_captain_proof_capture","low","Support operation that affects completion or visibility without a standalone current-screen identity."
